Cell_ID,SRA Accession,Run_ID,cell_line,tissue
s0001_mouse1_MDAMB231_Tumor_1cells,SRX15229322,SRR19163104,MDAMB231,Tumor
s0002_mouse1_MDAMB231_Tumor_2cells,SRX15229323,SRR19163103,MDAMB231,Tumor
s0003_mouse1_MDAMB231_Tumor_1cells,SRX15230064,SRR19163738,MDAMB231,Tumor
s0004_mouse1_MDAMB231_Tumor_1cells,SRX15230065,SRR19163737,MDAMB231,Tumor
s0005_mouse1_MDAMB231_Tumor_1cells,SRX15230066,SRR19163736,MDAMB231,Tumor
s0006_mouse1_MDAMB231_Tumor_0cells,SRX15230067,SRR19163735,MDAMB231,Tumor
s0007_mouse1a_MDAMB231_Tumor_0cells,SRX15230068,SRR19163734,MDAMB231,Tumor
s0008_mouse1_MDAMB231_Tumor_1cells,SRX15230069,SRR19163733,MDAMB231,Tumor
s0009_mouse1_MDAMB231_Tumor_1cells,SRX15230070,SRR19163732,MDAMB231,Tumor
s0010_mouse1_MDAMB231_Tumor_1cells,SRX15230071,SRR19163731,MDAMB231,Tumor
s0011_mouse1_MDAMB231_Tumor_1cells,SRX15230072,SRR19163730,MDAMB231,Tumor
s0012_mouse1_MDAMB231_Tumor_0cells,SRX15230073,SRR19163729,MDAMB231,Tumor
s0013_mouse1a_MDAMB231_Tumor_1cells,SRX15230074,SRR19163728,MDAMB231,Tumor
s0014_mouse1_MDAMB231_Tumor_0cells,SRX15230075,SRR19163727,MDAMB231,Tumor
s0015_mouse1_MDAMB231_Tumor_0cells,SRX15230076,SRR19163726,MDAMB231,Tumor
s0016_mouse1_MDAMB231_Tumor_0cells,SRX15230077,SRR19163725,MDAMB231,Tumor
s0017_mouse1_MDAMB231_Tumor_1cells,SRX15230078,SRR19163724,MDAMB231,Tumor
s0018_mouse1a_MDAMB231_Tumor_0cells,SRX15230079,SRR19163723,MDAMB231,Tumor
s0019_mouse1_MDAMB231_Tumor_1cells,SRX15229148,SRR19162934,MDAMB231,Tumor
s0020_mouse1_MDAMB231_Tumor_1cells,SRX15229149,SRR19162933,MDAMB231,Tumor
s0021_mouse1a_MDAMB231_Tumor_0cells,SRX15229150,SRR19162932,MDAMB231,Tumor
s0022_mouse1_MDAMB231_Tumor_0cells,SRX15229151,SRR19162931,MDAMB231,Tumor
s0023_mouse1_MDAMB231_Tumor_1cells,SRX15229152,SRR19162930,MDAMB231,Tumor
s0024_mouse1a_MDAMB231_Tumor_1cells,SRX15229153,SRR19162929,MDAMB231,Tumor
s0025_mouse1_MDAMB231_Tumor_1cells,SRX15229154,SRR19162928,MDAMB231,Tumor
s0026_mouse1_MDAMB231_Tumor_0cells,SRX15229155,SRR19162927,MDAMB231,Tumor
s0027_mouse1_MDAMB231_Tumor_1cells,SRX15229156,SRR19162926,MDAMB231,Tumor
s0028_mouse1_MDAMB231_Tumor_1cells,SRX15229157,SRR19162925,MDAMB231,Tumor
s0029_mouse1_MDAMB231_Tumor_1cells,SRX15229158,SRR19162924,MDAMB231,Tumor
s0030_mouse1_MDAMB231_Tumor_1cells,SRX15229159,SRR19162923,MDAMB231,Tumor
s0031_mouse1_MDAMB231_Tumor_0cells,SRX15229160,SRR19162922,MDAMB231,Tumor
s0032_mouse1_MDAMB231_Tumor_1cells,SRX15229161,SRR19162921,MDAMB231,Tumor
s0033_mouse1_MDAMB231_Tumor_1cells,SRX15229162,SRR19162920,MDAMB231,Tumor
s0034_mouse1_MDAMB231_Tumor_1cells,SRX15229163,SRR19162919,MDAMB231,Tumor
s0035_mouse1a_MDAMB231_Tumor_1cells,SRX15229996,SRR19163806,MDAMB231,Tumor
s0036_mouse1_MDAMB231_Tumor_1cells,SRX15229997,SRR19163805,MDAMB231,Tumor
s0037_mouse1_MDAMB231_Tumor_0cells,SRX15229998,SRR19163804,MDAMB231,Tumor
